Date,Open,High,Low,Close,Adj Close,Volume
"Mar 10, 2022",283.82,284.82,270.12,279.43,279.43,"58,648,500"
"Mar 9, 2022",279.83,286.85,277.34,286.32,286.32,"59,184,000"
"Mar 8, 2022",265.18,283.33,260.72,274.80,274.80,"80,399,100"
"Mar 7, 2022",285.43,288.71,268.19,268.19,268.19,"72,494,100"
"Mar 4, 2022",283.03,285.22,275.05,279.43,279.43,"66,999,600"
"Mar 3, 2022",292.92,295.48,277.53,279.76,279.76,"61,623,600"
"Mar 2, 2022",290.71,295.49,281.42,293.30,293.30,"74,643,300"
"Mar 1, 2022",289.89,296.63,284.59,288.12,288.12,"74,766,900"
"Feb 28, 2022",271.67,292.29,271.57,290.14,290.14,"99,006,900"
"Feb 25, 2022",269.74,273.17,260.80,269.96,269.96,"76,067,700"
"Feb 24, 2022",233.46,267.49,233.33,266.92,266.92,"135,322,200"
"Feb 23, 2022",276.81,278.43,253.52,254.68,254.68,"95,256,900"
"Feb 22, 2022",278.04,285.58,267.03,273.84,273.84,"83,288,100"
"Feb 18, 2022",295.33,295.62,279.20,285.66,285.66,"68,501,700"
"Feb 17, 2022",304.42,306.17,291.37,292.12,292.12,"55,178,400"
"Feb 16, 2022",304.68,308.81,300.40,307.80,307.80,"51,294,300"
"Feb 15, 2022",300.00,307.67,297.79,307.48,307.48,"57,286,200"
"Feb 14, 2022",287.19,299.63,284.38,291.92,291.92,"67,756,500"
"Feb 11, 2022",303.21,305.32,283.57,286.67,286.67,"79,645,800"
"Feb 10, 2022",302.79,314.60,298.90,301.52,301.52,"66,126,900"
"Feb 9, 2022",311.67,315.42,306.67,310.67,310.67,"52,259,400"
"Feb 8, 2022",301.84,308.76,298.27,307.33,307.33,"50,729,100"
"Feb 7, 2022",307.93,315.92,300.90,302.45,302.45,"60,994,500"
"Feb 4, 2022",299.07,312.17,293.72,307.77,307.77,"73,625,400"
"Feb 3, 2022",294.00,312.33,293.51,297.05,297.05,"78,855,600"
"Feb 2, 2022",309.39,310.50,296.47,301.89,301.89,"66,792,900"
"Feb 1, 2022",311.74,314.57,301.67,310.42,310.42,"73,138,200"
"Jan 31, 2022",290.90,312.66,287.35,312.24,312.24,"104,436,000"
"Jan 28, 2022",277.19,285.83,264.00,282.12,282.12,"134,789,100"
"Jan 27, 2022",311.12,311.80,276.33,276.37,276.37,"147,109,500"
"Jan 26, 2022",317.48,329.23,302.00,312.47,312.47,"104,867,400"
"Jan 25, 2022",304.73,317.09,301.07,306.13,306.13,"86,595,900"
"Jan 24, 2022",301.59,311.17,283.82,310.00,310.00,"151,565,700"
"Jan 21, 2022",332.11,334.85,313.50,314.63,314.63,"103,416,000"
"Jan 20, 2022",336.58,347.22,331.33,332.09,332.09,"70,488,600"
"Jan 19, 2022",347.24,351.56,331.67,331.88,331.88,"75,442,500"
"Jan 18, 2022",342.20,356.93,338.69,343.50,343.50,"66,743,400"
"Jan 14, 2022",339.96,350.67,337.79,349.87,349.87,"72,924,300"
"Jan 13, 2022",369.69,371.87,342.18,343.85,343.85,"97,209,900"
"Jan 12, 2022",359.62,371.61,357.53,368.74,368.74,"83,739,000"
"Jan 11, 2022",351.22,358.62,346.27,354.80,354.80,"66,063,300"
"Jan 10, 2022",333.33,353.03,326.67,352.71,352.71,"91,815,000"
"Jan 7, 2022",360.12,360.31,336.67,342.32,342.32,"84,164,700"
"Jan 6, 2022",359.00,362.67,340.17,354.90,354.90,"90,336,600"
"Jan 5, 2022",382.22,390.11,360.34,362.71,362.71,"80,119,800"
"Jan 4, 2022",396.52,402.67,374.35,383.20,383.20,"100,248,300"
"Jan 3, 2022",382.58,400.36,378.68,399.93,399.93,"103,931,400"
"Dec 31, 2021",357.81,360.67,351.53,352.26,352.26,"40,733,700"
"Dec 30, 2021",353.78,365.18,351.05,356.78,356.78,"47,040,900"
"Dec 29, 2021",366.21,368.00,354.71,362.06,362.06,"56,154,000"
"Dec 28, 2021",369.83,373.00,359.47,362.82,362.82,"60,324,000"
"Dec 27, 2021",357.89,372.33,356.91,364.65,364.65,"71,145,900"
"Dec 23, 2021",335.60,357.66,332.52,355.67,355.67,"92,713,200"
"Dec 22, 2021",321.89,338.55,319.02,336.29,336.29,"93,634,200"
"Dec 21, 2021",305.62,313.17,295.37,312.84,312.84,"71,517,900"
"Dec 20, 2021",303.57,307.23,297.80,299.98,299.98,"56,480,100"
"Dec 17, 2021",304.92,320.22,303.01,310.86,310.86,"100,437,300"
"Dec 16, 2021",331.50,331.66,307.28,308.97,308.97,"82,771,500"
"Dec 15, 2021",317.74,326.25,309.42,325.33,325.33,"75,169,200"
"Dec 14, 2021",315.00,322.14,310.00,319.50,319.50,"70,806,300"
"Dec 13, 2021",333.70,335.00,317.14,322.14,322.14,"78,595,500"
"Dec 10, 2021",336.25,340.33,327.51,339.01,339.01,"59,664,300"
"Dec 9, 2021",353.55,354.16,334.12,334.60,334.60,"59,438,400"
"Dec 8, 2021",350.90,357.46,344.33,356.32,356.32,"41,906,400"
"Dec 7, 2021",348.07,352.56,342.27,350.58,350.58,"56,084,700"
"Dec 6, 2021",333.84,340.55,316.83,336.34,336.34,"81,663,000"
"Dec 3, 2021",361.60,363.53,333.40,338.32,338.32,"92,322,000"
"Dec 2, 2021",366.35,371.00,352.22,361.53,361.53,"73,114,800"
"Dec 1, 2021",386.90,390.95,363.59,365.00,365.00,"68,450,400"
"Nov 30, 2021",381.46,389.33,372.67,381.59,381.59,"81,276,000"
"Nov 29, 2021",367.00,380.89,366.73,379.00,379.00,"58,393,500"
"Nov 26, 2021",366.49,369.59,360.33,360.64,360.64,"35,042,700"
"Nov 24, 2021",360.13,377.59,354.00,372.00,372.00,"67,680,600"
"Nov 23, 2021",389.17,393.50,354.23,369.68,369.68,"108,515,100"
"Nov 22, 2021",387.44,400.65,377.48,385.62,385.62,"99,217,500"
"Nov 19, 2021",366.29,379.57,364.23,379.02,379.02,"64,926,900"
"Nov 18, 2021",368.85,370.67,358.34,365.46,365.46,"62,696,700"
"Nov 17, 2021",354.50,373.21,351.83,363.00,363.00,"94,336,200"
"Nov 16, 2021",334.44,352.40,334.06,351.58,351.58,"79,627,200"
"Nov 15, 2021",339.21,343.99,326.20,337.80,337.80,"104,326,800"
"Nov 12, 2021",349.17,351.50,339.73,344.47,344.47,"76,719,300"
"Nov 11, 2021",367.59,368.32,351.56,354.50,354.50,"67,189,800"
"Nov 10, 2021",336.80,359.37,329.10,355.98,355.98,"128,408,100"
"Nov 9, 2021",391.20,391.50,337.17,341.17,341.17,"177,317,400"
"Nov 8, 2021",383.26,399.00,377.67,387.65,387.65,"100,337,100"
"Nov 5, 2021",409.33,413.29,402.67,407.36,407.36,"64,886,400"
"Nov 4, 2021",411.47,414.50,405.67,409.97,409.97,"76,192,200"
"Nov 3, 2021",392.44,405.13,384.21,404.62,404.62,"103,885,500"
"Nov 2, 2021",386.45,402.86,382.00,390.67,390.67,"128,213,400"
"Nov 1, 2021",381.67,403.25,372.89,402.86,402.86,"168,146,100"
"Oct 29, 2021",360.62,371.74,357.74,371.33,371.33,"89,755,200"
"Oct 28, 2021",356.10,360.33,351.40,359.01,359.01,"81,639,600"
"Oct 27, 2021",346.55,356.96,343.59,345.95,345.95,"115,579,500"
"Oct 26, 2021",341.56,364.98,333.81,339.48,339.48,"187,245,000"
"Oct 25, 2021",316.84,348.34,314.73,341.62,341.62,"188,556,300"
"Oct 22, 2021",298.50,303.33,296.99,303.23,303.23,"68,642,400"
"Oct 21, 2021",285.33,300.00,285.17,298.00,298.00,"94,444,500"
"Oct 20, 2021",288.45,289.83,285.79,288.60,288.60,"42,096,300"
"Oct 19, 2021",292.51,292.65,287.50,288.09,288.09,"52,143,300"
"Oct 18, 2021",283.93,291.75,283.82,290.04,290.04,"72,621,600"
"Oct 15, 2021",274.58,281.07,274.12,281.01,281.01,"56,773,800"
"Oct 14, 2021",271.83,273.42,271.12,272.77,272.77,"36,741,600"
"Oct 13, 2021",270.16,271.80,268.59,270.36,270.36,"42,360,300"
"Oct 12, 2021",266.98,270.77,265.52,268.57,268.57,"66,060,000"
"Oct 11, 2021",262.55,267.08,261.83,263.98,263.98,"42,600,900"
"Oct 8, 2021",265.40,265.46,260.30,261.83,261.83,"50,215,800"
"Oct 7, 2021",261.82,268.33,261.13,264.54,264.54,"57,587,400"
"Oct 6, 2021",258.73,262.22,257.74,260.92,260.92,"43,898,400"
"Oct 5, 2021",261.60,265.77,258.07,260.20,260.20,"55,297,800"
"Oct 4, 2021",265.50,268.99,258.71,260.51,260.51,"91,449,900"
"Oct 1, 2021",259.47,260.26,254.53,258.41,258.41,"51,094,200"
"Sep 30, 2021",260.33,263.04,258.33,258.49,258.49,"53,868,000"
"Sep 29, 2021",259.93,264.50,256.89,260.44,260.44,"62,828,700"
"Sep 28, 2021",262.40,265.21,255.39,259.19,259.19,"76,144,200"
"Sep 27, 2021",257.71,266.33,256.44,263.79,263.79,"84,212,100"
"Sep 24, 2021",248.63,258.27,248.19,258.13,258.13,"64,119,000"
"Sep 23, 2021",251.67,252.73,249.31,251.21,251.21,"35,842,500"
"Sep 22, 2021",247.84,251.22,246.37,250.65,250.65,"45,378,900"
"Sep 21, 2021",244.93,248.25,243.48,246.46,246.46,"48,992,100"
"Sep 20, 2021",244.85,247.33,239.54,243.39,243.39,"74,273,100"
"Sep 17, 2021",252.38,253.68,250.00,253.16,253.16,"84,612,600"
"Sep 16, 2021",250.94,252.97,249.20,252.33,252.33,"41,770,200"
"Sep 15, 2021",248.33,252.29,246.12,251.94,251.94,"46,073,100"
"Sep 14, 2021",247.52,251.49,245.47,248.16,248.16,"55,574,700"
"Sep 13, 2021",246.74,248.26,236.28,247.67,247.67,"68,857,500"
"Sep 10, 2021",253.20,254.20,244.84,245.42,245.42,"45,552,600"
"Sep 9, 2021",251.14,254.03,250.54,251.62,251.62,"42,233,100"
"Sep 8, 2021",253.86,254.82,246.92,251.29,251.29,"56,379,000"
"Sep 7, 2021",246.67,253.40,246.42,250.97,250.97,"60,119,400"
"Sep 3, 2021",244.08,244.67,241.40,244.52,244.52,"45,738,300"
"Sep 2, 2021",244.83,246.99,243.51,244.13,244.13,"38,331,900"
